Table 2.
        Comparison of Retinal Nerve Fiber Layer (RNFL) Thickness Measurement (n = 163) by the 2 Optical Coherence Tomograsphy (OCT) Techniques in Healthy<comma> Glaucoma Suspect<comma> and Glaucoma Groups by Paired t Test
,Healthy Group (n = 60),Glaucoma Suspect Group (n = 48),Glaucoma Group (n = 55)
,Stratus OCT (μm),Cirrus HD-OCT (μm),P Value,Stratus OCT (μm),Cirrus HD-OCT (μm),P Value,Stratus OCT (μm),Cirrus HD-OCT (μm),P Value
Average,110.6±10.5,97.3±8.8,<0.001,100.3±10.1,86.4±7.81,<0.001,82.2±18.0,72.2±12.7,<0.001
Temporal,80.0±12.7,71.7±10.6,<0.001,76.5±13.7,65.8±10.9,<0.001,68.8±18.5,60.1±14.6,<0.001
Superior,133.2±15.9,122.0±13.5,<0.001,123.8±15.3,107.6±14.8,<0.001,98.5±26.6,87.1±19.5,<0.001
Nasal,85.0±15.5,69.3±10.4,<0.001,73.3±15.7,60.9±8.66,<0.001,65.8±18.2,59.2±11.1,<0.001
Inferior,144.3±14.6,126.5±13.8,<0.001,127.6±15.4,111.5±13.8,<0.001,96.22±9.4,82.0±22.5,<0.001
Clock hour
 9,63.2±10.4,55.4±8.2,<0.001,62.5±10.4,53.0±7.35,<0.001,58.3±15.1,51.0±11.8,<0.001
 10,91.9±17.4,81.8±13.7,<0.001,87.9±18.2,74.1±14.6,<0.001,77.0±24.5,66.8±18.7,<0.001
 11,138.4±23.8,129.2±18.9,<0.001,130.4±22.4,113.7±22.4,<0.001,106.1±34.5,96.1±28.9,<0.001
 12,137.3±21.7,127.2±22.6,<0.001,127.2±20.6,111.5±22.1,<0.001,99.7±29.8,85.4±23.7,<0.001
 1,124.0±19.6,109.5±18.5,<0.001,114.2±22.7,97.7±22.3,<0.001,92.4±27.7,79.6±19.5,<0.001
 2,100.9±20.2,85.0±15.8,<0.001,86.3±19.2,73.4±13.7,<0.001,77.8±24.5,68.4±15.4,<0.001
 3,69.6±14.2,56.9±9.2,<0.001,58.6±15.5,51.7±9.0,<0.001,58.8±18.5,55.0±12.1,<0.001
 4,85.4±18.8,65.8±14.1,<0.001,74.6±13.4,60.1±12.3,<0.001,63.4±17.7,54.2±9.9,<0.001
 5,120.9±19.1,97.8±16.4,<0.001,107.0±20.1,89.5±18.3,0.001,84.4±23.1,66.6±15.5,<0.001
 6,154.4±22.3,133.5±21.5,<0.001,133.5±27.9,119.3±21.9,<0.001,103.0±34.2,85.6±27.8,<0.001
 7,157.3±20.5,148.3±16.9,<0.001,140.0±22.3,125.0±24.3,<0.001,102.5±43.5,93.8±36.2,<0.001
 8,85.0±16.6,77.9±14.8,<0.001,78.9±17.2,67.9±14.1,<0.001,69.8±23.8,62.3±21.5,<0.001
